Time [s];	Voltage [V];	Current [A]
+4.6000000000000000E+01;	+4.0635952691052806E+00;	+1.0002066623629562E+00
+4.6200000000000003E+01;	+4.0637012994646176E+00;	+1.0002088441375980E+00
+4.6399999999999999E+01;	+4.0638063370303277E+00;	+1.0002071582208294E+00
+4.6600000000000001E+01;	+4.0639113745960369E+00;	+1.0002082491081503E+00
+4.6799999999999997E+01;	+4.0640162136030211E+00;	+1.0002096870959825E+00
+4.7000000000000000E+01;	+4.0641162872005978E+00;	+1.0002082986939378E+00
+4.7200000000000003E+01;	+4.0642177507092505E+00;	+1.0002077532502771E+00
+4.7399999999999999E+01;	+4.0643176257481022E+00;	+1.0002095383386207E+00
+4.7599999999999994E+01;	+4.0644176993456780E+00;	+1.0002083482797250E+00
+4.7799999999999997E+01;	+4.0645211484415853E+00;	+1.0002089928949600E+00
+4.8000000000000000E+01;	+4.0646196335693583E+00;	+1.0002070590492547E+00
+4.8200000000000003E+01;	+4.0647214941954637E+00;	+1.0002086953802363E+00
+4.8399999999999999E+01;	+4.0648241490564692E+00;	+1.0002100341964939E+00
+4.8600000000000001E+01;	+4.0649186630097347E+00;	+1.0002082491081503E+00
+4.8799999999999997E+01;	+4.0650153611089799E+00;	+1.0002088441375980E+00
+4.9000000000000000E+01;	+4.0651072937988166E+00;	+1.0002091416523220E+00
+4.9200000000000003E+01;	+4.0652055803678655E+00;	+1.0002079515934263E+00
+4.9399999999999999E+01;	+4.0652971159402513E+00;	+1.0002069598776802E+00
+4.9600000000000001E+01;	+4.0653922255696937E+00;	+1.0002087449660235E+00
+4.9799999999999997E+01;	+4.0654835625833545E+00;	+1.0002063152624452E+00
+5.0000000000000000E+01;	+4.0655854232094590E+00;	+1.0002089433091728E+00
+5.0200000000000003E+01;	+4.0656771573405699E+00;	+1.0002075549071279E+00
+5.0399999999999999E+01;	+4.0657736568810892E+00;	+1.0002081499365758E+00
+5.0599999999999994E+01;	+4.0658645967772999E+00;	+1.0002087945518110E+00
+5.0799999999999997E+01;	+4.0659599049654673E+00;	+1.0002084970370870E+00
+5.1000000000000000E+01;	+4.0660542203600087E+00;	+1.0002101333680684E+00
+5.1200000000000003E+01;	+4.0661461530498455E+00;	+1.0002101829538559E+00
+5.1399999999999999E+01;	+4.0662357030349794E+00;	+1.0002100837822812E+00
+5.1600000000000001E+01;	+4.0663254515788365E+00;	+1.0002096375101954E+00
+5.1799999999999997E+01;	+4.0664146044465186E+00;	+1.0002093895812585E+00
+5.2000000000000000E+01;	+4.0664997861396923E+00;	+1.0002080507650011E+00
+5.2200000000000003E+01;	+4.0665952928865865E+00;	+1.0002096870959825E+00
+5.2399999999999999E+01;	+4.0666842471955436E+00;	+1.0002099350249190E+00
+5.2600000000000001E+01;	+4.0667718115934219E+00;	+1.0002098854391319E+00
+5.2799999999999997E+01;	+4.0668585817563994E+00;	+1.0002087449660235E+00
+5.3000000000000000E+01;	+4.0669491245351592E+00;	+1.0002095879244080E+00
+5.3200000000000003E+01;	+4.0670331148759820E+00;	+1.0002082986939378E+00
+5.3399999999999999E+01;	+4.0671228634198400E+00;	+1.0002096870959825E+00
