Time [s];	Voltage [V];	Current [A]
+5.3000000000000000E+01;	+3.9858364441700851E+00;	+9.8302370368964262E-02
+5.3200000000000003E+01;	+3.9858388268747889E+00;	+9.8141910761213660E-02
+5.3399999999999999E+01;	+3.9858314802019508E+00;	+9.7959534235469922E-02
+5.3599999999999994E+01;	+3.9858300902908734E+00;	+9.7882527507770087E-02
+5.3799999999999997E+01;	+3.9858394225509652E+00;	+9.7760596056763058E-02
+5.4000000000000000E+01;	+3.9858394225509648E+00;	+9.7615111356781512E-02
+5.4200000000000003E+01;	+3.9858435922841977E+00;	+9.7560715748097201E-02
+5.4399999999999999E+01;	+3.9858451807540001E+00;	+9.7385330818364854E-02
+5.4599999999999994E+01;	+3.9858404153445921E+00;	+9.7248622802738008E-02
+5.4799999999999997E+01;	+3.9858390254335148E+00;	+9.7123468275555513E-02
+5.5000000000000000E+01;	+3.9858495490459576E+00;	+9.7031784154810521E-02
+5.5200000000000003E+01;	+3.9858491519285066E+00;	+9.6878464900433225E-02
+5.5399999999999999E+01;	+3.9858479605761548E+00;	+9.6766648950038406E-02
+5.5600000000000001E+01;	+3.9858431951667463E+00;	+9.6634205312120636E-02
+5.5799999999999997E+01;	+3.9858410110207676E+00;	+9.6532951134423894E-02
+5.6000000000000000E+01;	+3.9858439894016477E+00;	+9.6435961334436202E-02
+5.6199999999999996E+01;	+3.9858370398462615E+00;	+9.6287898173514283E-02
+5.6400000000000006E+01;	+3.9858382311986134E+00;	+9.6196957839578975E-02
+5.6600000000000001E+01;	+3.9858400182271407E+00;	+9.6087323663826010E-02
+5.6799999999999997E+01;	+3.9858402167858666E+00;	+9.6000151849726642E-02
+5.7000000000000000E+01;	+3.9858326715543027E+00;	+9.5844502063345563E-02
+5.7200000000000003E+01;	+3.9858461735476269E+00;	+9.5863394248312486E-02
+5.7399999999999999E+01;	+3.9858318773194021E+00;	+9.5588986501312534E-02
+5.7599999999999994E+01;	+3.9858336643479295E+00;	+9.5476476349895326E-02
+5.7799999999999997E+01;	+3.9858471663412538E+00;	+9.5422378255934914E-02
+5.8000000000000000E+01;	+3.9858410110207685E+00;	+9.5270149888878553E-02
+5.8200000000000003E+01;	+3.9858390254335148E+00;	+9.5172912159954270E-02
+5.8399999999999999E+01;	+3.9858334657892045E+00;	+9.5052369110992060E-02
+5.8600000000000001E+01;	+3.9858431951667463E+00;	+9.5001940365292928E-02
+5.8799999999999997E+01;	+3.9858489533697821E+00;	+9.4866372822774339E-02
+5.9000000000000000E+01;	+3.9858461735476269E+00;	+9.4791696627078315E-02
+5.9199999999999996E+01;	+3.9858414081382185E+00;	+9.4669070975048883E-02
+5.9400000000000006E+01;	+3.9858372384049865E+00;	+9.4478215279674302E-02
+5.9600000000000001E+01;	+3.9858431951667472E+00;	+9.4481785456360948E-02
+5.9799999999999997E+01;	+3.9858437908429227E+00;	+9.4334813182759977E-02
+6.0000000000000000E+01;	+3.9858443865190991E+00;	+9.4223145989727100E-02
+6.0200000000000003E+01;	+3.9790086052814915E+00;	+0.0000000000000000E+00
+6.0399999999999999E+01;	+3.9789353371118374E+00;	+0.0000000000000000E+00
+6.0600000000000001E+01;	+3.9788841089606977E+00;	+0.0000000000000000E+00
+6.0799999999999997E+01;	+3.9788477727139582E+00;	+0.0000000000000000E+00
+6.1000000000000000E+01;	+3.9788165989940789E+00;	+0.0000000000000000E+00
+6.1200000000000003E+01;	+3.9787957503279170E+00;	+0.0000000000000000E+00
+6.1399999999999999E+01;	+3.9787631866969595E+00;	+0.0000000000000000E+00
+6.1600000000000001E+01;	+3.9787431322656999E+00;	+0.0000000000000000E+00
+6.1799999999999997E+01;	+3.9787214893646361E+00;	+0.0000000000000000E+00
+6.2000000000000000E+01;	+3.9787012363746506E+00;	+0.0000000000000000E+00
+6.2200000000000003E+01;	+3.9786770122101580E+00;	+0.0000000000000000E+00
+6.2399999999999999E+01;	+3.9786645030104615E+00;	+0.0000000000000000E+00
+6.2600000000000001E+01;	+3.9786378961412638E+00;	+0.0000000000000000E+00
+6.2799999999999997E+01;	+3.9786204229734334E+00;	+0.0000000000000000E+00
+6.3000000000000000E+01;	+3.9786059281864827E+00;	+0.0000000000000000E+00
+6.3200000000000003E+01;	+3.9785922276344334E+00;	+0.0000000000000000E+00
+6.3399999999999999E+01;	+3.9785709818508210E+00;	+0.0000000000000000E+00
+6.3600000000000001E+01;	+3.9785533101242656E+00;	+0.0000000000000000E+00
+6.3799999999999997E+01;	+3.9785451692165257E+00;	+0.0000000000000000E+00
+6.4000000000000000E+01;	+3.9785312701057514E+00;	+0.0000000000000000E+00
+6.4200000000000003E+01;	+3.9785128041442932E+00;	+0.0000000000000000E+00
+6.4400000000000006E+01;	+3.9785016848556745E+00;	+0.0000000000000000E+00
+6.4599999999999994E+01;	+3.9784905655670548E+00;	+0.0000000000000000E+00
+6.4799999999999997E+01;	+3.9784766664562805E+00;	+0.0000000000000000E+00
+6.5000000000000000E+01;	+3.9784701140183434E+00;	+0.0000000000000000E+00
+6.5200000000000003E+01;	+3.9784629659042317E+00;	+0.0000000000000000E+00
+6.5400000000000006E+01;	+3.9784591932884497E+00;	+0.0000000000000000E+00
+6.5599999999999994E+01;	+3.9784375503873868E+00;	+0.0000000000000000E+00
+6.5799999999999997E+01;	+3.9784278210098449E+00;	+0.0000000000000000E+00
+6.6000000000000000E+01;	+3.9784184887497527E+00;	+0.0000000000000000E+00
+6.6200000000000003E+01;	+3.9784069723436826E+00;	+0.0000000000000000E+00
+6.6400000000000006E+01;	+3.9783950588201620E+00;	+0.0000000000000000E+00
+6.6599999999999994E+01;	+3.9783855280013447E+00;	+0.0000000000000000E+00
+6.6799999999999997E+01;	+3.9783769899761547E+00;	+0.0000000000000000E+00
+6.7000000000000000E+01;	+3.9783732173603732E+00;	+0.0000000000000000E+00
+6.7200000000000003E+01;	+3.9783617009543035E+00;	+0.0000000000000000E+00
+6.7400000000000006E+01;	+3.9783491917546061E+00;	+0.0000000000000000E+00
+6.7599999999999994E+01;	+3.9783400580532398E+00;	+0.0000000000000000E+00
